Epoch,AgentType,Epsilon,States/Steps,AvgScore,BestScore,TotalDeaths
20,Q-Learn,0.95695,192,2.80,12,20
40,Q-Learn,0.89582,260,4.10,23,40
60,Q-Learn,0.83960,310,5.03,23,60
80,Q-Learn,0.78103,427,5.72,23,80
20,Q-Learn,0.69771,541,8.80,12,20
20,Q-Learn,0.64168,619,12.40,47,20
40,Q-Learn,0.59997,687,13.00,47,40
20,Q-Learn,0.55196,726,14.65,34,20
20,Q-Learn,0.47067,790,19.70,38,20
40,Q-Learn,0.43955,816,19.65,48,40
20,Q-Learn,0.40580,847,19.40,42,20
40,Q-Learn,0.37061,875,22.48,62,40
60,Q-Learn,0.34725,897,21.20,62,60
20,Q-Learn,0.28756,962,26.75,60,20
40,Q-Learn,0.26105,980,28.07,68,40
