Epoch,AgentType,Epsilon,States/Steps,AvgScore,BestScore,TotalDeaths
20,Q-Learn,0.96686,193,2.65,13,26
40,Q-Learn,0.92574,263,3.12,13,51
60,Q-Learn,0.89703,330,3.02,13,81
80,Q-Learn,0.85403,399,3.39,13,115
100,Q-Learn,0.82177,441,3.36,13,145
120,Q-Learn,0.77642,515,4.00,17,174
140,Q-Learn,0.74258,554,4.64,32,207
160,Q-Learn,0.70336,611,5.66,33,240
180,Q-Learn,0.67446,655,5.84,33,278
200,Q-Learn,0.64801,688,5.60,33,315
220,Q-Learn,0.61841,727,5.38,33,350
240,Q-Learn,0.57829,751,6.80,37,386
260,Q-Learn,0.54357,783,8.16,47,423
280,Q-Learn,0.51248,811,9.36,51,457
300,Q-Learn,0.47945,855,10.71,58,492
320,Q-Learn,0.44815,895,12.11,58,527
340,Q-Learn,0.42327,950,12.58,58,564
360,Q-Learn,0.40804,981,11.28,63,600
380,Q-Learn,0.38335,1006,11.61,63,636
400,Q-Learn,0.36428,1016,12.82,63,662
420,Q-Learn,0.34245,1024,15.14,72,691
440,Q-Learn,0.33256,1051,14.95,72,726
460,Q-Learn,0.31152,1071,14.59,72,761
480,Q-Learn,0.29575,1082,14.34,72,795
500,Q-Learn,0.27467,1088,17.40,79,828
520,Q-Learn,0.26293,1105,17.44,79,856
540,Q-Learn,0.25219,1113,17.76,79,888
560,Q-Learn,0.23521,1139,18.66,97,918
580,Q-Learn,0.22214,1144,19.30,97,948
600,Q-Learn,0.21076,1156,21.12,97,978
620,Q-Learn,0.20158,1160,19.98,97,1009
640,Q-Learn,0.18367,1184,23.39,142,1042
660,Q-Learn,0.17319,1190,24.79,142,1071
680,Q-Learn,0.16161,1193,28.91,142,1099
700,Q-Learn,0.15017,1204,29.90,213,1129
720,Q-Learn,0.13481,1217,35.62,213,1159
740,Q-Learn,0.12366,1229,37.49,213,1194
760,Q-Learn,0.11401,1237,38.79,213,1228
780,Q-Learn,0.10332,1253,38.62,213,1258
800,Q-Learn,0.09497,1257,40.44,246,1291
820,Q-Learn,0.08352,1261,48.99,246,1315
840,Q-Learn,0.07448,1278,53.20,246,1346
860,Q-Learn,0.06876,1289,55.73,246,1373
880,Q-Learn,0.06130,1298,62.20,291,1399
900,Q-Learn,0.05661,1318,52.60,291,1428
920,Q-Learn,0.05019,1328,59.14,291,1454
940,Q-Learn,0.04369,1328,69.57,350,1477
960,Q-Learn,0.03858,1336,71.34,350,1503
980,Q-Learn,0.03455,1338,81.06,350,1528
1000,Q-Learn,0.02993,1342,86.52,350,1555
1020,Q-Learn,0.02619,1346,83.99,350,1579
1040,Q-Learn,0.02336,1348,85.67,350,1604
1060,Q-Learn,0.02053,1349,91.79,350,1626
1080,Q-Learn,0.01805,1349,92.22,350,1649
1100,Q-Learn,0.01592,1349,97.22,350,1669
1120,Q-Learn,0.01358,1349,103.28,350,1692
1140,Q-Learn,0.01088,1351,121.37,398,1717
1160,Q-Learn,0.00885,1365,130.46,398,1742
1180,Q-Learn,0.00725,1374,145.61,658,1762
1200,Q-Learn,0.00650,1376,141.24,658,1786
1220,Q-Learn,0.00575,1386,131.27,658,1807
1240,Q-Learn,0.00100,1391,117.67,218,1245
1260,Q-Learn,0.00100,1391,116.60,218,1265
1280,Q-Learn,0.00100,1391,116.85,218,1285
1300,Q-Learn,0.00100,1391,116.72,218,1305
1320,Q-Learn,0.00100,1391,116.66,218,1325
1340,Q-Learn,0.00100,1391,124.46,218,1345
1360,Q-Learn,0.00100,1391,125.00,218,1365
1380,Q-Learn,0.00100,1391,124.73,218,1385
1400,Q-Learn,0.00100,1391,124.73,218,1405
1420,Q-Learn,0.00100,1391,123.89,218,1425
1440,Q-Learn,0.00100,1391,123.27,218,1445
1460,Q-Learn,0.00100,1391,123.03,218,1465
1480,Q-Learn,0.00100,1391,123.30,218,1485
1500,Q-Learn,0.00100,1391,121.91,218,1505
1520,Q-Learn,0.00100,1391,122.75,218,1525
1540,Q-Learn,0.00100,1391,123.31,218,1545
1560,Q-Learn,0.00100,1391,123.55,218,1565
1580,Q-Learn,0.00100,1391,123.55,218,1585
1600,Q-Learn,0.00100,1391,124.94,218,1605
1620,Q-Learn,0.00100,1391,122.14,218,1626
1640,Q-Learn,0.00100,1391,122.20,218,1646
1660,Q-Learn,0.00100,1391,122.20,218,1666
1680,Q-Learn,0.00100,1391,122.20,218,1686
1700,Q-Learn,0.00100,1391,122.23,218,1707
1720,Q-Learn,0.00100,1391,123.78,218,1727
1740,Q-Learn,0.00100,1391,123.78,218,1747
1760,Q-Learn,0.00100,1391,123.78,218,1767
1780,Q-Learn,0.00100,1391,123.78,218,1787
1800,Q-Learn,0.00100,1391,123.72,218,1807
1820,Q-Learn,0.00100,1391,123.75,218,1827
1840,Q-Learn,0.00100,1391,122.35,218,1847
1860,Q-Learn,0.00100,1391,123.21,218,1867
1880,Q-Learn,0.00100,1391,123.21,218,1887
1900,Q-Learn,0.00100,1391,124.55,218,1907
1920,Q-Learn,0.00100,1391,124.38,218,1927
1940,Q-Learn,0.00100,1391,125.51,218,1947
1960,Q-Learn,0.00100,1391,124.37,218,1967
1980,Q-Learn,0.00100,1391,124.33,218,1987
2000,Q-Learn,0.00100,1391,124.79,218,2007
2020,Q-Learn,0.00100,1391,124.01,218,2027
2040,Q-Learn,0.00100,1391,124.36,218,2047
2060,Q-Learn,0.00100,1391,124.48,218,2067
2080,Q-Learn,0.00100,1391,124.42,218,2087
2100,Q-Learn,0.00100,1391,123.90,218,2107
2120,Q-Learn,0.00100,1391,124.85,218,2127
2140,Q-Learn,0.00100,1391,123.67,218,2147
2160,Q-Learn,0.00100,1391,123.86,218,2167
2180,Q-Learn,0.00100,1391,123.96,218,2187
2200,Q-Learn,0.00100,1391,123.96,218,2207
